Time,Culture,Rep,DilutionFactor,Ehux_AbsCounts
0,TE,Blank,0,0
0,SW,Blank,0,0
0,1516,Old,0.5,1793070
0,1516,A,0.5,206400
0,1516,B,0.5,164490
0,374,Old,0.5,1561510
0,374,A,0.5,144450
0,374,B,0.5,183040
0,1516,Old,0.25,811240
0,1516,A,0.25,99910
0,1516,B,0.25,84140
0,374,Old,0.25,811570
0,374,A,0.25,68290
0,374,B,0.25,90370
0,NOVORINSE,Clean,0,0
1,374,A,0.5,102770
1,374,A,0.25,54370
1,374,B,0.5,128200
1,374,B,0.25,65270
1,1516,A,0.5,160910
1,1516,A,0.25,86970
1,1516,B,0.5,114800
1,1516,B,0.25,64960
