Sample,Bact,Ehux,EhV86
EA_0_0.5,44550,112800,5524700
EB_0_0.5,48950,81850,5857300
EC_0_0.5,30900,79000,4939150
ED_0_0.5,0,0,0
EE_0_0.5,0,0,0
EF_0_0.5,0,0,0
EG_0_0.5,0,0,0
EH_0_0.5,0,0,0
EI_0_0.5,0,0,0
EJ_0_0.5,0,0,0
EA_0_0.2,5100,13050,820550
EB_0_0.2,8400,15400,1297700
EC_0_0.2,8300,14700,868450
ED_0_0.2,12950,28350,1449250
EE_0_0.2,14600,12550,1148550
EF_0_0.2,7550,15900,1071000
EG_0_0.2,17900,17350,1438250
EH_0_0.2,21800,16350,1232000
EI_0_0.2,8400,19200,9150
EJ_0_0.2,7250,19650,9200
EA_2_0.1,29400,25550,270300
EB_2_0.1,16750,22950,259950
EC_2_0.1,18900,21600,177350
ED_2_0.1,14200,19800,240150
EE_2_0.1,16550,21050,248250
EF_2_0.1,15150,19000,218100
EG_2_0.1,60300,5450,7379400
EH_2_0.1,61150,6300,7411750
EI_2_0.1,35650,24750,2950
EJ_2_0.1,37250,22100,750
EA_2_0.05,10000,12650,119500
EB_2_0.05,7350,11800,119900
EC_2_0.05,7700,10450,79650
ED_2_0.05,6750,10750,115800
EE_2_0.05,9200,11050,117250
EF_2_0.05,8300,10250,92550
EG_2_0.05,24150,3700,1725800
EH_2_0.05,27700,2950,1701400
EI_2_0.05,17400,11600,1050
EJ_2_0.05,19350,10000,400
EA_4_0.1,32850,89550,110450
EB_4_0.1,38950,85150,115500
EC_4_0.1,43100,76750,87600
ED_4_0.1,30000,69850,76850
EE_4_0.1,36750,80700,124700
EF_4_0.1,34400,73750,115850
EG_4_0.1,189000,650,9591000
EH_4_0.1,157450,500,7579000
EI_4_0.1,58850,87700,5400
EJ_4_0.1,66550,66950,1050
EA_4_0.05,18450,37600,52850
EB_4_0.05,21300,41450,48950
EC_4_0.05,21200,36550,39700
ED_4_0.05,16700,34950,37550
EE_4_0.05,21500,36650,29550
EF_4_0.05,18300,32050,25250
EG_4_0.05,75850,350,225100
EH_4_0.05,53400,200,480950
EI_4_0.05,26800,42150,650
EJ_4_0.05,33500,36600,250
EA_6_0.1,73900,225150,63750
EB_6_0.1,65700,252850,72800
EC_6_0.1,73850,292350,53300
ED_6_0.1,49400,193350,50450
EE_6_0.1,48300,230350,65400
EF_6_0.1,45650,199200,63700
EG_6_0.1,227100,500,8885100
EH_6_0.1,236200,650,9184650
EI_6_0.1,80900,253050,6950
EJ_6_0.1,89000,208400,2300
EA_6_0.05,37650,116550,36350
EB_6_0.05,35150,118300,36050
EC_6_0.05,34500,119100,24900
ED_6_0.05,26050,100250,25050
EE_6_0.05,27400,104150,35650
EF_6_0.05,27600,94650,35050
EG_6_0.05,123350,50,4576700
EH_6_0.05,128350,250,4635400
EI_6_0.05,40000,119450,1650
EJ_6_0.05,45050,105650,750
