Sample,Bacteria Abs. Count,Ehux Abs. Count,EhV86 Abs. Count,Rpom Abs. Count,V5 Abs. Count
E_A_0.5,44550,112800,5524700,,
E_B_0.5,48950,81850,5857300,,
E_C_0.5,30900,79000,4939150,,
E_D_0.5,0,0,0,,
E_E_0.5,0,0,0,,
E_F_0.5,0,0,0,,
E_G_0.5,0,0,0,,
E_H_0.5,0,0,0,,
E_I_0.5,0,0,0,,
E_J_0.5,0,0,0,,
E_A_0.2,5100,13050,820550,,
E_B_0.2,8400,15400,1297700,,
E_C_0.2,8300,14700,868450,,
E_D_0.2,12950,28350,1449250,,
E_E_0.2,14600,12550,1148550,,
E_F_0.2,7550,15900,1071000,,
E_G_0.2,17900,17350,1438250,,
E_H_0.2,21800,16350,1232000,,
E_I_0.2,8400,19200,9150,,
E_J_0.2,7250,19650,9200,,
R_A_0.1,0,0,0,,
R_B_0.1,0,0,0,,
R_C_0.1,0,0,0,,
R_D_0.1,0,0,0,,
R_E_0.1,0,0,0,,
R_F_0.1,0,0,0,,
R_G_0.1,0,0,0,,
R_H_0.1,0,0,0,,
R_I_0.1,0,0,0,,
R_J_0.1,0,0,0,,
R_A_0.01,,,,716100,447650
R_B_0.01,,,,939000,527750
R_C_0.01,,,,747150,344750
R_D_0.01,,,,778850,255600
R_E_0.01,,,,750400,227350
R_F_0.01,,,,832450,219450
R_G_0.01,,,,697950,578650
R_H_0.01,,,,698550,596600
R_I_0.01,,,,911950,4400
R_J_0.01,,,,863350,4350
EV_A_0.01,3250,0,850800,,
EV_B_0.01,3500,0,610200,,
EV_C_0.01,2100,0,570350,,
EV_D_0.01,0,0,0,,
EV_E_0.01,5450,0,794600,,
EV_F_0.01,0,0,0,,
EV_G_0.01,16950,0,307300,,
EV_H_0.01,9300,0,211850,,
EV_A_0.001,700,0,94300,,
EV_B_0.001,700,0,71550,,
EV_C_0.001,200,0,66650,,
EV_D_0.001,500,0,87150,,
EV_E_0.001,400,0,90000,,
EV_F_0.001,500,0,97300,,
EV_G_0.001,2000,0,37850,,
EV_H_0.001,1250,0,22750,,
Sample17,0,0,0,,
Sample18,0,0,0,,
Sample19,0,0,0,,
Sample20,0,0,0,,
Sample21,0,0,0,,
Sample22,0,0,0,,
Sample23,0,0,0,,
Sample24,0,0,0,,
V5_A_0.001,2150,0,,,4972000
V5_B_0.001,2550,0,,,5975200
V5_C_0.001,5550,0,,,7488450
V5_D_0.001,42050,0,,,3721650
V5_E_0.001,46250,0,,,3812800
V5_F_0.001,46150,0,,,3866650
V5_G_0.001,650,0,,,10476500
V5_H_0.001,13250,0,,,10822150
