Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,Unmix Method,B1 Abs. Count,B2 Abs. Count,Ehux Abs. Count,EhV86 Abs. Count,EhV86_fsc Abs. Count
10,T0,1,A1,EA_0.5,4/1/2026 2:36:58 PM,Spectral Unmix (LS),95650,110000,100300,,541900
10,T0,1,A2,EB_0.5,4/1/2026 2:38:26 PM,Spectral Unmix (LS),84200,100000,96350,,435050
10,T0,1,A3,EC_0.5,4/1/2026 2:39:54 PM,Spectral Unmix (LS),88500,102000,80650,,382600
10,T0,1,A4,ED_0.5,4/1/2026 2:41:23 PM,Spectral Unmix (LS),98600,115350,145550,,736450
10,T0,1,A5,EE_0.5,4/1/2026 2:42:51 PM,Spectral Unmix (LS),84400,107400,92200,,440000
10,T0,1,A6,EF_0.5,4/1/2026 2:44:19 PM,Spectral Unmix (LS),87900,108500,103300,,385850
10,T0,1,A7,EG_0.5,4/1/2026 2:45:47 PM,Spectral Unmix (LS),99750,117350,121900,,460600
10,T0,1,A8,EH_0.5,4/1/2026 2:47:15 PM,Spectral Unmix (LS),92300,108800,101000,,516500
10,T0,1,A9,EI_0.5,4/1/2026 2:48:44 PM,Spectral Unmix (LS),89350,106900,109050,,942650
10,T0,1,A10,EJ_0.5,4/1/2026 2:50:12 PM,Spectral Unmix (LS),90200,109750,98350,,636100
10,T0,1,A11,EK_0.5,4/1/2026 2:51:41 PM,Spectral Unmix (LS),96450,108350,97150,,688450
10,T0,1,A12,EL_0.5,4/1/2026 2:53:09 PM,Spectral Unmix (LS),95500,115900,111500,,89200
10,T0,1,B1,EM_0.5,4/1/2026 2:54:37 PM,Spectral Unmix (LS),99050,121050,140550,,317950
10,T0,1,B2,EN_0.5,4/1/2026 2:56:05 PM,Spectral Unmix (LS),,,,493350,667350
10,T0,1,B3,EO_0.5,4/1/2026 2:57:34 PM,Spectral Unmix (LS),,,,531000,867650
10,T0,1,C1,EA_0.01,4/1/2026 2:59:02 PM,Spectral Unmix (LS),1650,1950,1800,25100,26550
10,T0,1,C2,EB_0.01,4/1/2026 3:00:30 PM,Spectral Unmix (LS),1750,2600,1450,19300,50100
10,T0,1,C3,EC_0.01,4/1/2026 3:01:58 PM,Spectral Unmix (LS),2050,2200,1400,15050,18250
10,T0,1,C4,ED_0.01,4/1/2026 3:03:27 PM,Spectral Unmix (LS),1500,1300,2950,19700,20750
10,T0,1,C5,EE_0.01,4/1/2026 3:04:55 PM,Spectral Unmix (LS),1300,900,1900,17500,19400
10,T0,1,C6,EF_0.01,4/1/2026 3:06:23 PM,Spectral Unmix (LS),2100,1850,2600,16600,22650
10,T0,1,C7,EG_0.01,4/1/2026 3:07:51 PM,Spectral Unmix (LS),2200,1700,2600,23200,47850
10,T0,1,C8,EH_0.01,4/1/2026 3:09:19 PM,Spectral Unmix (LS),1500,1500,2500,20450,31150
10,T0,1,C9,EI_0.01,4/1/2026 3:10:47 PM,Spectral Unmix (LS),1400,1650,2850,16300,19900
10,T0,1,C10,EJ_0.01,4/1/2026 3:12:16 PM,Spectral Unmix (LS),2100,2000,2600,13850,16450
10,T0,1,C11,EK_0.01,4/1/2026 3:13:44 PM,Spectral Unmix (LS),2150,1550,1500,32100,49800
10,T0,1,C12,EL_0.01,4/1/2026 3:15:12 PM,Spectral Unmix (LS),1200,1550,3650,900,6250
10,T0,1,D1,EM_0.01,4/1/2026 3:16:40 PM,Spectral Unmix (LS),1950,2500,2150,1650,9050
10,T0,1,D2,EN_0.01,4/1/2026 3:18:09 PM,Spectral Unmix (LS),0,0,0,15150,18450
10,T0,1,D3,EO_0.01,4/1/2026 3:19:37 PM,Spectral Unmix (LS),50,0,0,17450,24100
10,T0,1,C1,EA_0.1,4/1/2026 4:02:28 PM,Spectral Unmix (LS),14700,16600,13600,153200,211250
10,T0,1,C2,EB_0.1,4/1/2026 4:03:56 PM,Spectral Unmix (LS),15850,20350,12750,131350,212650
10,T0,1,C3,EC_0.1,4/1/2026 4:05:24 PM,Spectral Unmix (LS),16200,17150,12100,109750,139100
10,T0,1,C4,ED_0.1,4/1/2026 4:06:52 PM,Spectral Unmix (LS),15350,20300,18650,144050,205500
10,T0,1,C5,EE_0.1,4/1/2026 4:08:21 PM,Spectral Unmix (LS),15100,18450,15900,127600,165000
